epoch,accuracy,loss,val_accuracy,val_loss
0,0.7088758945465088,0.5205668807029724,0.7730212807655334,0.4155053496360779
1,0.8314020037651062,0.30921822786331177,0.8030661344528198,0.3793662488460541
2,0.8677611351013184,0.2275870144367218,0.8078848123550415,0.46550801396369934
3,0.8764556646347046,0.20692108571529388,0.807727038860321,0.56379634141922
4,0.8787144422531128,0.20004570484161377,0.808730959892273,0.6183472871780396
5,0.8797685503959656,0.19667787849903107,0.8075836300849915,0.6733627319335938
6,0.8803314566612244,0.195119246840477,0.8109394907951355,0.6680413484573364
7,0.8806469440460205,0.19412219524383545,0.8094910383224487,0.7052685618400574
8,0.8807545304298401,0.19389384984970093,0.8053033947944641,0.7519397139549255
9,0.8806290030479431,0.19414429366588593,0.8069096207618713,0.7071855068206787
