epoch,accuracy,loss,val_accuracy,val_loss
0,0.6867302656173706,0.5446931719779968,0.7618747353553772,0.4348849058151245
1,0.820807933807373,0.3303791582584381,0.7947596311569214,0.3974589705467224
2,0.8634090423583984,0.23728103935718536,0.8052862286567688,0.45138657093048096
3,0.874785304069519,0.20956337451934814,0.8050854802131653,0.6000877618789673
4,0.8779081702232361,0.2020508348941803,0.8045978546142578,0.6576721668243408
5,0.8793208003044128,0.1976776421070099,0.8079968094825745,0.6646860241889954
6,0.8798514008522034,0.19561976194381714,0.8057738542556763,0.6605440974235535
7,0.8802242875099182,0.19490785896778107,0.8068351149559021,0.6856745481491089
8,0.8806617259979248,0.1934887021780014,0.8060606718063354,0.7160696387290955
9,0.8808481693267822,0.1931873857975006,0.8070359230041504,0.7325685620307922
