epoch,accuracy,loss,val_accuracy,val_loss
0,0.7077045440673828,0.5192000269889832,0.7761157751083374,0.4129047393798828
1,0.8321985602378845,0.30655917525291443,0.8053722977638245,0.38719555735588074
2,0.8680161833763123,0.2254199981689453,0.8078534007072449,0.4728691279888153
3,0.8760079145431519,0.20569899678230286,0.808885931968689,0.5660743713378906
4,0.8781161308288574,0.20038917660713196,0.8090294003486633,0.6139636039733887
5,0.8790877461433411,0.1975668966770172,0.8095026612281799,0.6067022681236267
6,0.8795430660247803,0.19589102268218994,0.8087425231933594,0.6949755549430847
7,0.8801741003990173,0.19475066661834717,0.8092445135116577,0.7244124412536621
8,0.8803533911705017,0.19361336529254913,0.8040098547935486,0.7067983746528625
9,0.8804322481155396,0.1931755393743515,0.8025326728820801,0.7413219213485718
