epoch,accuracy,loss,val_accuracy,val_loss
0,0.7055246829986572,0.5226454138755798,0.7682136297225952,0.4254734218120575
1,0.8268026113510132,0.31722453236579895,0.8011128902435303,0.38428783416748047
2,0.8652662038803101,0.23295950889587402,0.8046839237213135,0.4638132154941559
3,0.8756673336029053,0.20807355642318726,0.8030346632003784,0.5492814779281616
4,0.878420889377594,0.20046637952327728,0.8029772639274597,0.6715769171714783
5,0.8795502781867981,0.19750061631202698,0.8043971061706543,0.6715407967567444
6,0.8801203370094299,0.19609247148036957,0.8060606718063354,0.718904435634613
7,0.8804107308387756,0.194350004196167,0.8048416972160339,0.7074292302131653
8,0.8807226419448853,0.19405514001846313,0.8057021498680115,0.7572404742240906
9,0.8811349868774414,0.19190779328346252,0.8052719235420227,0.8164710402488708
